F	F	12	F	F	F	F	F	F	F	1	14	Z
2	4	2	6	2	10	10	10	13	11	1	14	Z
2	3	2	6,2	2	10,2	10,2	10,2	F	11,2	1,2	14,2	Z,2
3	3	3	6,1	3	10,1	10,1	10,1	F	11,1	1,1	14,1	Z,1
F	4	F	5	7	10,3	10,3	10,3	F	11,3	1,3	14,3	Z,3
F	5	F	F	7	10,3	10,3	10,3	F	11,3	1,3	14,3	Z,3
9	5	F	F	9	F	F	F	F	F	F	F	F
F	F	F	F	F	8	10,3	10,3	F	11,3	1,3	14,3	Z,3
F	8	F	F	F	10,3	10,3	10,3	F	11,3	1,3	14,3	Z,3
9	F	F	1,6	9	F	F	F	F	F	F	F	F
2,5	4,5	2,5	F	2,5	F	1,6	F	13,5	11,5	1,5	14,5	Z,5
2,4	4,4	2,4	6,4	2,4	10,4	10,4	10,4	13,4	11,4	1,4	14,4	Z,4
12	12	12	12	12	12	12	12	12	12	12	14,8	Z,8
13	13	13	13	13	13	13	13	1,7	13	13	F	F
F	F	12,4	F	F	F	F	F	F	F	1,4	14,4	Z,4
F	F	F	F	F	F	F	F	F	F	F	F	F
